Ref	Count	SecCount	SupCount
ptg000784l	304		
ptg000787l	3425		
ptg000790l	33		
ptg000791l	8		
ptg000793l	2		
ptg000796l	4097		
ptg000800l	61		
ptg000803l	33283		
ptg000804l	378		
ptg000807l	9		
ptg000811l	29		
ptg000813l	515		
ptg000814l	171		
ptg000815l	50		
ptg000818l	24		
ptg000826l	55		
ptg000832l	3		
ptg000834l	236		
ptg000835l	59		
ptg000843l	4		
ptg000847l	10		
ptg000849l	30		
ptg000855l	25		
ptg000856l	50		
ptg000858l	43		
ptg000861l	24		
ptg000862l	303		
ptg000864l	726		
ptg000870l	606		
ptg000873l	9		
ptg000875l	412		
ptg000880l	751		
ptg000881l	15		
ptg000882l	96		
ptg000886l	4		
ptg000891l	1156		
ptg000894l	90		
ptg000896l	4		
ptg000898l	474		
ptg000900l	249		
ptg000908l	35		
ptg000912l	23		
ptg000914l	466		
ptg000918l	1668		
ptg000921l	769		
ptg000926l	30		
ptg000928l	336		
ptg000929l	22		
ptg000930l	2		
ptg000934l	71		
ptg000935l	613		
ptg000942l	1394		
ptg000943l	266		
ptg000945l	296		
ptg000946l	1148		
ptg000947l	7		
ptg000948l	17		
ptg000950l	29		
ptg000953l	615		
ptg000958l	21		
ptg000960l	33		
ptg000962l	4		
ptg000965l	189		
ptg000966l	2		
ptg000967l	73		
ptg000969l	370		
ptg000975l	87		
ptg000978l	66		
ptg000980l	10		
ptg000986l	244		
ptg000987l	864		
ptg000988l	3		
ptg000989l	138589		
ptg000991l	143		
ptg000996l	845		
ptg001003l	17		
ptg001006l	84		
ptg001009l	127		
ptg001011l	475		
ptg001012l	101250		
ptg001016l	11		
ptg001017l	783		
ptg001018l	3374		
ptg001022l	382		
ptg001024l	1866		
ptg001028l	22		
ptg001033l	5		
ptg001038l	189		
ptg001041l	268		
ptg001042l	73645		
ptg001043l	3849		
ptg001049l	485		
ptg001052l	10		
ptg001054l	2		
ptg001055l	2		
ptg001058l	149		
ptg001060l	4		
ptg001062l	34		
ptg001064l	33		
ptg001066l	3		
ptg001068l	6		
ptg001072l	5		
ptg001073l	18		
ptg001074l	4		
ptg001076l	2		
ptg001081l	1		
ptg001086l	179		
ptg001087l	4		
ptg001089l	2		
ptg001098c	105		
ptg001100l	248		
ptg001106l	2557		
ptg001107l	2		
ptg001108l	511		
ptg001113l	133		
ptg001114l	40		
ptg001120l	24		
ptg001121l	20		
ptg001123l	51		
ptg001124l	1490		
ptg001127l	121		
ptg001128l	323		
ptg001129l	2		
ptg001130l	30		
ptg001137c	15		
ptg001139l	29		
ptg001144l	269		
ptg001146l	174		
ptg001147l	225		
ptg001149l	2		
ptg001150l	88		
ptg001151l	50		
ptg001152l	47		
ptg001153l	8		
ptg001155l	4		
ptg001156l	201		
ptg001159l	74		
ptg001161l	6		
ptg001164l	313		
ptg001166l	277		
ptg001167l	12		
ptg001168l	90		
ptg001171l	9		
ptg001177l	48		
ptg001178l	40		
ptg001179l	48		
ptg001181l	781		
ptg001182l	8		
ptg001184l	116		
ptg001191l	2		
ptg001192l	196		
ptg001200l	120		
ptg001202l	12		
ptg001204l	29		
ptg001207l	8		
ptg001208l	3		
ptg001211l	33		
ptg001213l	688		
ptg001214l	30		
ptg001217l	42		
ptg001218l	534		
ptg001219l	9		
ptg001222l	28488		
ptg001226l	41		
ptg001227l	124		
ptg001228l	8		
ptg001231l	857		
ptg001236l	8		
ptg001238l	7		
ptg001239l	8		
ptg001241l	150		
ptg001242l	12		
ptg001243l	128		
ptg001244l	2		
ptg001246l	58		
ptg001248l	4		
ptg001251l	38		
ptg001252l	15		
ptg001260l	20285		
ptg001261l	5		
ptg001263l	118		
ptg001265l	3351		
ptg001267l	2		
ptg001272l	4		
ptg001273l	55		
ptg001275l	190		
ptg001284l	150		
ptg001290l	133		
ptg001291l	4		
ptg001295l	36		
ptg001297l	10		
ptg001303l	14		
ptg001304l	32		
ptg001306c	48		
ptg001307l	22		
