Ref	Count	SecCount	SupCount
ptg000644l	24		
ptg000649l	63		
ptg000651l	9386		
ptg000654l	14		
ptg000657l	1501		
ptg000658l	2400		
ptg000662l	1		
ptg000663l	159		
ptg000665l	12720		
ptg000666l	6429		
ptg000668l	155		
ptg000669l	155		
ptg000671l	5		
ptg000675l	597		
ptg000676l	279		
ptg000681l	1862		
ptg000683l	23474		
ptg000684l	169		
ptg000686l	737		
ptg000689l	53		
ptg000693l	937		
ptg000696l	21617		
ptg000699l	1		
ptg000700l	6		
ptg000703l	101331		
ptg000705l	1705		
ptg000706l	213		
ptg000713l	541		
ptg000714l	1019		
ptg000726l	723		
ptg000727l	11		
ptg000731l	345		
ptg000734l	157		
ptg000739l	318		
ptg000744l	28		
ptg000748l	32		
ptg000749l	26		
ptg000752l	103		
ptg000753l	7910		
ptg000759l	2965		
ptg000760l	5		
ptg000761l	2		
ptg000762l	9		
ptg000765l	1588		
ptg000766l	60		
ptg000772l	20		
ptg000773l	809		
ptg000774l	335		
ptg000775l	174055		
ptg000777l	26551		
ptg000779l	5		
ptg000780l	8		
ptg000781l	473		
ptg000784l	655		
ptg000787l	9845		
ptg000790l	280		
ptg000791l	67		
ptg000793l	19		
ptg000795l	21		
ptg000796l	23937		
ptg000800l	36		
ptg000803l	12102		
ptg000804l	2801		
ptg000807l	5		
ptg000808l	194		
ptg000813l	1665		
ptg000814l	167		
ptg000815l	2		
ptg000818l	170		
ptg000823l	8		
ptg000828l	3		
ptg000832l	35		
ptg000834l	1588		
ptg000835l	1		
ptg000843l	51		
ptg000844l	3		
ptg000847l	258		
ptg000849l	12		
ptg000856l	12		
ptg000858l	12		
ptg000859l	36		
ptg000864l	741		
ptg000870l	1422		
ptg000872l	46		
ptg000873l	2275		
ptg000874l	5		
ptg000875l	2092		
ptg000878l	7		
ptg000880l	2140		
ptg000881l	20		
ptg000882l	541		
ptg000886l	3		
ptg000891l	2736		
ptg000893l	7		
ptg000896l	1		
ptg000898l	1299		
ptg000900l	3291		
ptg000906l	9		
ptg000907l	7		
ptg000908l	11		
ptg000911l	3		
ptg000912l	16		
ptg000914l	1028		
ptg000918l	8915		
ptg000919l	2		
ptg000921l	3952		
ptg000928l	2382		
ptg000930l	50		
ptg000931l	19		
ptg000934l	51		
ptg000935l	506		
ptg000936l	1		
ptg000942l	522		
ptg000943l	1131		
ptg000944l	6		
ptg000945l	91		
ptg000946l	4935		
ptg000947l	557		
ptg000950l	1		
ptg000953l	295		
ptg000956l	114		
ptg000958l	936		
ptg000959l	10		
ptg000960l	169		
ptg000962l	13		
ptg000965l	1279		
ptg000966l	4		
ptg000967l	305		
ptg000969l	216		
ptg000978l	1091		
ptg000980l	1		
ptg000985l	2		
ptg000986l	661		
ptg000987l	8451		
ptg000988l	5		
ptg000989l	333838		
ptg000991l	70		
ptg000996l	2523		
ptg001003l	52		
ptg001005l	13		
ptg001006l	607		
ptg001009l	2		
ptg001011l	531		
ptg001012l	25755		
ptg001013l	4		
ptg001016l	125		
ptg001017l	801		
ptg001018l	343		
ptg001022l	179		
ptg001023l	4		
ptg001024l	2301		
ptg001027l	6		
ptg001028l	165		
ptg001029l	6		
ptg001033l	1039		
ptg001038l	7		
ptg001041l	71		
ptg001042l	163996		
ptg001043l	12236		
ptg001048l	50		
ptg001049l	2		
ptg001052l	321		
ptg001054l	64		
ptg001055l	203		
ptg001057l	1		
ptg001058l	42		
ptg001060l	26		
ptg001065l	21		
ptg001066l	146		
ptg001068l	81		
ptg001071l	6		
ptg001072l	11		
ptg001073l	5		
ptg001074l	305		
ptg001076l	4		
ptg001078l	4		
ptg001081l	1		
ptg001085l	3		
ptg001086l	425		
ptg001087l	2		
ptg001089l	8		
ptg001090l	1		
ptg001091l	8		
ptg001096l	5		
ptg001098c	475		
ptg001100l	75		
ptg001106l	874		
ptg001107l	4		
ptg001108l	12915		
ptg001113l	28		
ptg001114l	10		
ptg001115l	1		
ptg001119l	109		
ptg001120l	104		
ptg001121l	126		
ptg001122l	2		
ptg001123l	7		
ptg001124l	57		
ptg001128l	165		
ptg001129l	2		
ptg001130l	36		
ptg001131l	4		
ptg001136l	35		
ptg001137c	54		
ptg001139l	14		
ptg001143l	1		
ptg001144l	496		
ptg001145l	54		
ptg001146l	6		
ptg001147l	144		
ptg001149l	1		
ptg001150l	395		
ptg001151l	803		
ptg001152l	63		
ptg001153l	10		
ptg001154l	6		
ptg001155l	35		
ptg001156l	595		
ptg001158l	12		
ptg001159l	119		
ptg001161l	3		
ptg001163l	6		
ptg001164l	65		
ptg001166l	561		
ptg001167l	224		
ptg001168l	56		
ptg001171l	30		
ptg001176l	11		
ptg001177l	399		
ptg001179l	80		
ptg001181l	575		
ptg001182l	2		
ptg001184l	2058		
ptg001186l	1		
ptg001189l	13		
ptg001191l	1		
ptg001192l	141		
ptg001193l	9		
ptg001195l	2		
ptg001196l	6		
ptg001200l	509		
ptg001202l	16		
ptg001204l	17		
ptg001205l	8		
ptg001207l	164		
ptg001208l	20		
ptg001210l	3		
ptg001211l	77		
ptg001213l	701		
ptg001214l	1418		
ptg001217l	1		
ptg001218l	1856		
ptg001219l	52		
ptg001220l	1		
ptg001222l	66524		
ptg001226l	68		
ptg001227l	484		
ptg001228l	64		
ptg001231l	1452		
ptg001233l	3		
ptg001234l	4		
ptg001236l	2		
ptg001238l	26		
ptg001239l	33		
ptg001241l	38		
ptg001242l	1		
ptg001243l	593		
ptg001244l	502		
ptg001245l	5		
ptg001246l	1		
ptg001249l	7		
ptg001252l	90		
ptg001253l	6		
ptg001255l	2		
ptg001260l	16478		
ptg001261l	1825		
ptg001262l	65		
ptg001263l	76		
ptg001264l	739		
ptg001265l	7292		
ptg001266l	6		
ptg001267l	14		
ptg001271l	2		
ptg001272l	5		
ptg001273l	294		
ptg001275l	68		
ptg001277l	2		
ptg001278l	10		
ptg001279l	3		
ptg001280l	19		
ptg001281l	11		
