Ref	Count	SecCount	SupCount
CM044164.1_RagTag	593886		
CM044165.1_RagTag	774013		
CM044166.1_RagTag	2041075		
CM044167.1_RagTag	611413		
CM044168.1_RagTag	1398898		
CM044169.1_RagTag	788546		
CM044170.1_RagTag	631117		
CM044171.1_RagTag	771512		
CM044172.1_RagTag	426302		
CM044173.1_RagTag	527395		
CM044174.1_RagTag	305376		
CM044175.1_RagTag	524269		
CM044176.1_RagTag	1180683		
JANAFA010000017.1_RagTag	2		
JANAFA010000019.1_RagTag	1		
JANAFA010000035.1_RagTag	10		
JANAFA010000038.1_RagTag	20		
JANAFA010000040.1_RagTag	4		
JANAFA010000049.1_RagTag	69		
JANAFA010000051.1_RagTag	21		
JANAFA010000054.1_RagTag	3		
JANAFA010000058.1_RagTag	27412		
JANAFA010000080.1_RagTag	4		
JANAFA010000083.1_RagTag	2		
JANAFA010000087.1_RagTag	4		
JANAFA010000089.1_RagTag	16		
JANAFA010000094.1_RagTag	2		
JANAFA010000099.1_RagTag	2		
JANAFA010000102.1_RagTag	1		
JANAFA010000114.1_RagTag	42		
JANAFA010000123.1_RagTag	2		
JANAFA010000133.1_RagTag	27		
JANAFA010000136.1_RagTag	2		
JANAFA010000177.1_RagTag	32		
JANAFA010000184.1_RagTag	33		
JANAFA010000191.1_RagTag	2		
JANAFA010000201.1_RagTag	4		
JANAFA010000210.1_RagTag	1		
JANAFA010000211.1_RagTag	9		
JANAFA010000216.1_RagTag	20		
JANAFA010000222.1_RagTag	7		
JANAFA010000224.1_RagTag	2		
JANAFA010000279.1_RagTag	95661		
JANAFA010000339.1_RagTag	4		
JANAFA010000346.1_RagTag	111775		
JANAFA010000348.1_RagTag	1		
JANAFA010000357.1_RagTag	20		
JANAFA010000449.1_RagTag	12		
ptg000005l	21650		
ptg000007l	22444		
ptg000011l	603		
ptg000014l	503		
ptg000015l	3		
ptg000026l	142		
ptg000028l	26		
ptg000048l	71615		
ptg000054l	113		
ptg000062l	56942		
ptg000064l	85		
ptg000072l	28832		
ptg000083l	52631		
ptg000086l	2		
ptg000092l	41		
ptg000093l	1730		
ptg000098l	79		
ptg000103l	12641		
ptg000104l	771		
ptg000108l	961		
ptg000133l	2		
ptg000141l	18959		
ptg000151l	788		
ptg000155l	14		
ptg000162l	6847		
ptg000164l	162		
ptg000165l	1576		
ptg000166l	312		
ptg000170l	3		
ptg000173l	3283		
ptg000175l	43796		
ptg000176l	84		
ptg000182l	28		
ptg000184l	1184		
ptg000197l	6256		
ptg000198l	9		
ptg000199l	147		
ptg000200l	33		
ptg000202l	97		
ptg000210l	130		
ptg000212l	16882		
ptg000215l	85065		
ptg000217l	6		
ptg000220l	11491		
ptg000233l	4		
ptg000235l	2		
ptg000241l	501		
ptg000248l	27		
ptg000250l	287		
ptg000253l	93		
ptg000256l	13		
ptg000260l	21		
ptg000262l	126		
ptg000266l	16906		
ptg000270l	3		
ptg000286l	37		
ptg000289l	2		
ptg000290l	5599		
ptg000291l	270		
ptg000292l	4600		
ptg000301l	10454		
ptg000305l	637		
ptg000317l	11248		
ptg000319l	963		
ptg000323l	10121		
ptg000324l	345		
ptg000325l	537		
ptg000340l	2848		
ptg000350l	479		
ptg000351l	1		
ptg000361l	2		
ptg000365l	3		
ptg000367l	2		
ptg000372l	528		
ptg000374l	76		
ptg000378l	209		
ptg000386l	239		
ptg000394l	909		
ptg000398l	140		
ptg000401l	2		
ptg000403l	900		
ptg000406l	352		
ptg000411l	1656		
ptg000421l	236		
ptg000424l	342		
ptg000436l	8		
ptg000437l	11		
ptg000438l	826		
ptg000439l	12200		
ptg000444l	808		
ptg000448c	213		
ptg000449l	342		
ptg000450l	1		
ptg000452l	13466		
ptg000454l	1051		
ptg000456l	88		
ptg000469l	5		
ptg000470l	6060		
ptg000471l	1221		
ptg000472l	4		
ptg000477l	139		
ptg000478l	9097		
ptg000482l	2		
ptg000484l	3030		
ptg000485l	15		
ptg000486l	68227		
ptg000488l	99		
ptg000491l	2		
ptg000493l	473		
ptg000494l	107		
ptg000497l	7163		
ptg000498l	1316		
ptg000499l	2200		
ptg000502l	6		
ptg000506l	147		
ptg000513l	16		
ptg000521l	1		
ptg000523l	6		
ptg000530l	8088		
ptg000532l	8820		
ptg000533l	2		
ptg000534l	3		
ptg000537l	537		
ptg000541l	319		
ptg000546l	43		
ptg000551l	20		
ptg000556l	27		
ptg000559l	8		
ptg000564l	428		
ptg000567l	102		
ptg000573l	8		
ptg000575l	1512		
ptg000582l	216		
ptg000593l	14		
ptg000598l	211		
ptg000599l	2025		
ptg000604l	172		
ptg000612l	17		
ptg000614l	209		
ptg000622l	4		
ptg000625l	570		
ptg000630l	46		
ptg000635l	160		
ptg000639l	2		
ptg000640l	6		
ptg000642l	1		
ptg000649l	9		
ptg000651l	545		
ptg000657l	90		
ptg000658l	279		
ptg000663l	10		
ptg000665l	860		
ptg000666l	2720		
ptg000669l	3		
ptg000671l	2		
ptg000675l	884		
ptg000676l	14		
ptg000681l	57		
ptg000683l	4297		
ptg000684l	2		
ptg000686l	54		
ptg000693l	275		
ptg000696l	1567		
ptg000699l	15		
ptg000703l	46818		
ptg000705l	244		
ptg000712l	9		
ptg000713l	250		
ptg000714l	2		
ptg000726l	222		
ptg000731l	3		
ptg000734l	54		
ptg000739l	2		
ptg000744l	2		
ptg000745l	108		
ptg000749l	13		
ptg000753l	1141		
ptg000759l	269		
ptg000765l	362		
ptg000773l	89		
ptg000774l	74		
ptg000775l	17689		
ptg000777l	1639		
ptg000781l	20		
ptg000784l	55		
ptg000787l	639		
ptg000796l	987		
ptg000800l	15		
ptg000803l	8044		
ptg000804l	94		
ptg000811l	10		
ptg000813l	77		
ptg000814l	35		
ptg000815l	13		
ptg000818l	6		
ptg000826l	4		
ptg000834l	76		
ptg000835l	31		
ptg000847l	5		
ptg000849l	5		
ptg000855l	6		
ptg000856l	11		
ptg000858l	3		
ptg000861l	4		
ptg000862l	73		
ptg000864l	176		
ptg000870l	161		
ptg000875l	58		
ptg000878l	1		
ptg000880l	327		
ptg000881l	8		
ptg000882l	16		
ptg000891l	526		
ptg000894l	16		
ptg000898l	208		
ptg000900l	63		
ptg000908l	7		
ptg000912l	1		
ptg000914l	183		
ptg000918l	343		
ptg000921l	249		
ptg000926l	2		
ptg000928l	96		
ptg000929l	4		
ptg000934l	15		
ptg000935l	92		
ptg000938l	2		
ptg000942l	26		
ptg000943l	97		
ptg000945l	114		
ptg000946l	448		
ptg000947l	1		
ptg000948l	2		
ptg000950l	3		
ptg000953l	300		
ptg000958l	2		
ptg000960l	2		
ptg000962l	2		
ptg000965l	108		
ptg000966l	1		
ptg000967l	6		
ptg000969l	92		
ptg000975l	15		
ptg000978l	3		
ptg000986l	57		
ptg000987l	219		
ptg000988l	2		
ptg000989l	135535		
ptg000991l	3		
ptg000996l	159		
ptg001003l	2		
ptg001006l	11		
ptg001009l	15		
ptg001011l	159		
ptg001012l	18086		
ptg001017l	360		
ptg001018l	1066		
ptg001022l	76		
ptg001024l	527		
ptg001028l	4		
ptg001033l	2		
ptg001038l	53		
ptg001041l	30		
ptg001042l	90765		
ptg001043l	614		
ptg001049l	163		
ptg001052l	1		
ptg001054l	2		
ptg001058l	2		
ptg001062l	2		
ptg001064l	4		
ptg001068l	2		
ptg001073l	3		
ptg001086l	33		
ptg001098c	2		
ptg001100l	7		
ptg001106l	137		
ptg001108l	1542		
ptg001113l	4		
ptg001114l	8		
ptg001120l	32		
ptg001124l	52		
ptg001127l	60		
ptg001128l	64		
ptg001130l	5		
ptg001137c	6		
ptg001139l	2		
ptg001144l	8		
ptg001146l	59		
ptg001147l	1		
ptg001150l	69		
ptg001151l	12		
ptg001152l	14		
ptg001156l	53		
ptg001159l	19		
ptg001163l	2		
ptg001164l	109		
ptg001166l	80		
ptg001168l	17		
ptg001177l	7		
ptg001178l	14		
ptg001179l	1		
ptg001181l	8		
ptg001184l	12		
ptg001192l	64		
ptg001200l	32		
ptg001202l	2		
ptg001204l	8		
ptg001207l	2		
ptg001208l	1		
ptg001211l	6		
ptg001213l	116		
ptg001214l	3		
ptg001217l	4		
ptg001218l	148		
ptg001222l	45758		
ptg001226l	10		
ptg001227l	37		
ptg001231l	97		
ptg001241l	33		
ptg001243l	18		
ptg001246l	8		
ptg001248l	8		
ptg001251l	5		
ptg001252l	2		
ptg001260l	9962		
ptg001263l	2		
ptg001265l	513		
ptg001267l	2		
ptg001273l	10		
ptg001275l	6		
ptg001283l	5		
ptg001284l	2		
ptg001290l	4		
ptg001295l	10		
ptg001297l	2		
ptg001306c	1		
ptg001307l	2		
ptg001308l	33		
ptg001309l	23		
ptg001310l	15		
ptg001311l	4		
ptg001312l	15		
ptg001315l	33		
ptg001316l	4		
ptg001319l	2		
ptg001322l	361		
ptg001327l	17422		
ptg001328l	4		
ptg001331l	2		
ptg001332l	4286		
ptg001336l	10		
ptg001337l	125		
ptg001340l	2		
ptg001341l	25		
ptg001342l	182		
ptg001346l	9		
ptg001347l	5		
ptg001348l	2		
ptg001354l	8		
ptg001355l	35		
ptg001360l	2		
ptg001364l	10		
ptg001366l	44		
ptg001373l	115		
ptg001375l	8		
ptg001378l	4		
ptg001379l	14		
ptg001383l	17		
ptg001384l	16		
ptg001386l	1		
ptg001390l	4		
ptg001391l	8		
ptg001393l	7		
ptg001395l	3		
ptg001398l	25		
ptg001404l	3		
ptg001409l	4		
ptg001410l	2		
ptg001414l	15041		
ptg001415l	8		
ptg001426l	8		
ptg001427l	15		
ptg001430l	3		
ptg001433l	29		
ptg001434l	10		
ptg001436l	2		
ptg001437l	18		
ptg001438l	14		
ptg001441l	2		
ptg001442l	7		
ptg001445l	9		
ptg001447l	8		
ptg001451l	26		
ptg001454l	1751		
ptg001455l	55		
ptg001457l	33		
ptg001460l	92		
ptg001469l	72660		
ptg001480l	6		
ptg001481l	47		
ptg001482l	5		
ptg001485l	6		
ptg001488l	1360		
ptg001491l	1		
ptg001492l	4		
ptg001496l	29		
ptg001497l	26		
ptg001501l	3		
ptg001504l	2		
ptg001509l	8		
ptg001510l	1		
ptg001511l	8		
ptg001513l	8		
ptg001518l	13		
ptg001519l	2		
ptg001520l	1		
ptg001524l	8		
ptg001525l	7		
ptg001534l	10263		
ptg001537l	11350		
ptg001538l	4		
ptg001539l	13		
ptg001541l	28		
ptg001546l	3		
ptg001550l	82		
ptg001551l	4		
ptg001552l	12		
ptg001553l	3		
ptg001555l	1		
ptg001557l	4		
ptg001559l	2		
ptg001562l	2		
ptg001564l	44		
ptg001565l	2		
ptg001566l	2		
ptg001568l	33		
ptg001572l	4		
ptg001578l	11357		
ptg001582l	4		
ptg001589l	2		
ptg001590l	2		
ptg001593l	15124		
ptg001594l	14		
ptg001602l	4		
ptg001603l	31		
ptg001604l	11		
ptg001607l	15		
ptg001609l	1939		
ptg001610l	2		
ptg001611l	4		
ptg001612l	10		
ptg001613l	1		
ptg001616l	1		
ptg001620l	15		
ptg001623l	6		
ptg001625l	43		
ptg001627l	17		
ptg001630l	4		
ptg001631l	2		
ptg001632l	46		
ptg001634l	2		
ptg001638l	12		
ptg001639l	2		
ptg001640l	5		
ptg001641l	2		
ptg001642l	19		
ptg001647l	4		
ptg001648l	14		
ptg001649l	6		
ptg001651l	1		
ptg001653l	43		
ptg001654l	1		
ptg001665l	5		
ptg001666l	2		
ptg001677l	2		
ptg001679l	4		
ptg001680l	2		
ptg001683l	10		
ptg001687l	21		
ptg001690l	4		
ptg001691l	101		
ptg001694l	16		
ptg001696l	2		
ptg001697l	6		
ptg001699l	10		
ptg001701l	3		
ptg001703l	16		
ptg001711l	29		
ptg001716l	13		
ptg001717l	14		
ptg001719l	2		
ptg001720l	8		
ptg001721c	2		
ptg001722l	3		
ptg001724l	2		
ptg001725l	34		
ptg001728l	65		
ptg001730l	8		
ptg001733l	14		
ptg001734l	3		
ptg001736l	2		
ptg001737l	2		
ptg001738l	5		
ptg001740l	2		
ptg001742l	14		
ptg001743l	8		
ptg001744l	13		
ptg001745l	14		
ptg001746l	2		
ptg001749l	9		
ptg001756l	8		
ptg001757l	1		
ptg001759l	21		
ptg001761l	40		
ptg001765l	29		
ptg001768l	2		
ptg001769l	10		
ptg001770l	6		
ptg001772l	2		
ptg001773l	6		
ptg001776l	2		
ptg001779l	12		
ptg001780l	1		
ptg001783l	8		
ptg001785l	8		
ptg001787l	2		
ptg001788l	23		
ptg001790l	7		
ptg001792l	59		
ptg001793l	26		
ptg001794l	2		
ptg001795l	24880		
ptg001798l	14		
ptg001802l	22		
ptg001803l	4		
ptg001804l	931		
ptg001805l	26		
ptg001807l	3		
ptg001808l	9112		
ptg001815l	6		
ptg001816l	7214		
ptg001820l	2		
ptg001823l	1		
ptg001826l	2		
ptg001838l	4		
ptg001839l	5		
ptg001840l	4		
ptg001841l	2		
ptg001842l	7		
ptg001846l	4		
ptg001847l	2		
ptg001849l	102		
ptg001850l	11428		
ptg001851l	12		
ptg001857l	2		
ptg001858l	2		
ptg001861l	4		
ptg001864l	8073		
ptg001868l	17		
ptg001869l	1691		
ptg001870l	7		
ptg001871l	9754		
ptg001872l	8		
ptg001873l	32		
ptg001875l	107		
ptg001876l	6		
ptg001880l	64		
ptg001882l	23		
