Ref	Count	SecCount	SupCount
CM044164.1_RagTag	2672428		
CM044165.1_RagTag	3710676		
CM044166.1_RagTag	8689135		
CM044167.1_RagTag	3126576		
CM044168.1_RagTag	5820738		
CM044169.1_RagTag	3522086		
CM044170.1_RagTag	3092061		
CM044171.1_RagTag	3101558		
CM044172.1_RagTag	1883898		
CM044173.1_RagTag	2055482		
CM044174.1_RagTag	1483228		
CM044175.1_RagTag	2128796		
CM044176.1_RagTag	4979246		
JANAFA010000015.1_RagTag	64		
JANAFA010000017.1_RagTag	62		
JANAFA010000019.1_RagTag	163		
JANAFA010000035.1_RagTag	709		
JANAFA010000038.1_RagTag	1284		
JANAFA010000040.1_RagTag	177		
JANAFA010000049.1_RagTag	959		
JANAFA010000051.1_RagTag	371		
JANAFA010000054.1_RagTag	197		
JANAFA010000058.1_RagTag	106482		
JANAFA010000062.1_RagTag	36		
JANAFA010000070.1_RagTag	192		
JANAFA010000080.1_RagTag	1162		
JANAFA010000083.1_RagTag	14		
JANAFA010000087.1_RagTag	60		
JANAFA010000089.1_RagTag	237		
JANAFA010000093.1_RagTag	11		
JANAFA010000094.1_RagTag	137		
JANAFA010000099.1_RagTag	43		
JANAFA010000102.1_RagTag	50		
JANAFA010000114.1_RagTag	82		
JANAFA010000123.1_RagTag	66		
JANAFA010000129.1_RagTag	185		
JANAFA010000133.1_RagTag	135		
JANAFA010000136.1_RagTag	27		
JANAFA010000170.1_RagTag	6		
JANAFA010000177.1_RagTag	71		
JANAFA010000184.1_RagTag	139		
JANAFA010000191.1_RagTag	51		
JANAFA010000201.1_RagTag	156		
JANAFA010000210.1_RagTag	21		
JANAFA010000211.1_RagTag	188		
JANAFA010000216.1_RagTag	613		
JANAFA010000222.1_RagTag	761		
JANAFA010000224.1_RagTag	44		
JANAFA010000249.1_RagTag	6		
JANAFA010000279.1_RagTag	90546		
JANAFA010000295.1_RagTag	19		
JANAFA010000303.1_RagTag	59		
JANAFA010000327.1_RagTag	191		
JANAFA010000339.1_RagTag	85		
JANAFA010000346.1_RagTag	103340		
JANAFA010000348.1_RagTag	4		
JANAFA010000357.1_RagTag	243		
JANAFA010000449.1_RagTag	102		
JANAFA010000458.1_RagTag	5		
JANAFA010000474.1_RagTag	30		
ptg000005l	71164		
ptg000007l	87616		
ptg000011l	7612		
ptg000014l	4141		
ptg000015l	54		
ptg000026l	880		
ptg000027l	13		
ptg000028l	748		
ptg000048l	374288		
ptg000054l	1581		
ptg000062l	235379		
ptg000064l	1370		
ptg000067l	222		
ptg000072l	139077		
ptg000082l	5		
ptg000083l	266142		
ptg000086l	53		
ptg000092l	1496		
ptg000093l	15710		
ptg000098l	733		
ptg000103l	59176		
ptg000104l	24797		
ptg000108l	9406		
ptg000133l	7		
ptg000141l	265791		
ptg000146l	6		
ptg000151l	10937		
ptg000153l	7		
ptg000155l	276		
ptg000159l	346		
ptg000162l	38116		
ptg000164l	1380		
ptg000165l	13140		
ptg000166l	917		
ptg000170l	19		
ptg000173l	11650		
ptg000175l	167353		
ptg000176l	3040		
ptg000182l	223		
ptg000184l	16615		
ptg000187l	3		
ptg000197l	24920		
ptg000198l	2		
ptg000199l	11168		
ptg000200l	973		
ptg000202l	2024		
ptg000203l	12		
ptg000210l	1239		
ptg000212l	80328		
ptg000215l	280619		
ptg000216l	8		
ptg000220l	40880		
ptg000233l	1		
ptg000235l	41		
ptg000241l	4184		
ptg000248l	4911		
ptg000250l	6902		
ptg000253l	466		
ptg000255l	248		
ptg000256l	44		
ptg000259l	7		
ptg000260l	270		
ptg000262l	2069		
ptg000266l	64897		
ptg000270l	18		
ptg000273l	4		
ptg000284l	4		
ptg000286l	118		
ptg000289l	197		
ptg000290l	90262		
ptg000291l	6364		
ptg000292l	17045		
ptg000301l	30185		
