iteration,chain,λ,pzero,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
401,1,2.4592897633482345,0.7550118384977126,-43376.645982057395,3.0,1.0,0.9870692320795257,-43376.645982057395,43377.51518601864,-0.9553043329942739,-1.051995919115143,1.0,0.0,0.9041334935925025,0.9041334935925025
402,1,2.4592897633482345,0.7550118384977126,-43376.645982057395,1.0,1.0,0.2925995331263568,-43376.645982057395,43378.75809950289,0.0,1.2289503860010882,1.0,0.0,0.9041334935925025,0.9041334935925025
403,1,2.4707103052014596,0.7581850013177108,-43376.09605322508,3.0,1.0,0.9293761684098613,-43376.09605322508,43376.990856204604,-0.1825406372809084,0.23809412471746327,2.0,0.0,0.9041334935925025,0.9041334935925025
404,1,2.4707103052014596,0.7581850013177108,-43376.09605322508,1.0,1.0,0.07219343136971414,-43376.09605322508,43378.31099944876,0.0,2.6284062154809362,1.0,0.0,0.9041334935925025,0.9041334935925025
405,1,2.459522536334275,0.7570652051648874,-43376.27349722156,3.0,1.0,0.9434644629288517,-43376.27349722156,43376.273888349184,0.09714009250456002,0.09714009250456002,2.0,0.0,0.9041334935925025,0.9041334935925025
406,1,2.4841445298015463,0.7579483469446572,-43376.19972751626,3.0,1.0,0.975568540487234,-43376.19972751626,43376.33048694708,-0.04882132328930311,0.0642304694847553,2.0,0.0,0.9041334935925025,0.9041334935925025
407,1,2.4455014892994575,0.753762205326791,-43377.84560769623,3.0,1.0,0.4164236767891909,-43377.84560769623,43378.88194587404,0.5765789440774824,1.1968672445727861,2.0,0.0,0.9041334935925025,0.9041334935925025
408,1,2.4472961848225503,0.7572197831110979,-43376.95917102956,3.0,1.0,0.9927838684276917,-43376.95917102956,43378.11640432637,-0.15955507408216363,-0.15955507408216363,2.0,0.0,0.9041334935925025,0.9041334935925025
409,1,2.4611502642933583,0.7601518346274446,-43377.04861668519,3.0,1.0,1.0,-43377.04861668519,43377.35048266482,-0.012122141182771884,-0.17089596531150164,2.0,0.0,0.9041334935925025,0.9041334935925025
410,1,2.478886057564828,0.7555824458964392,-43376.38639434493,5.0,1.0,0.8300428390406711,-43376.38639434493,43377.394681619924,-0.3284209562771139,0.5388574901007814,2.0,0.0,0.9041334935925025,0.9041334935925025
411,1,2.459720593571295,0.7589758091019844,-43376.592189645344,3.0,1.0,0.7251504772427405,-43376.592189645344,43376.98905009571,0.13883068992436165,0.4890380668148282,2.0,0.0,0.9041334935925025,0.9041334935925025
412,1,2.4888572235969435,0.7596777079387029,-43376.70911495247,3.0,1.0,1.0,-43376.70911495247,43376.9043185265,-0.05927872643223964,-0.18346372833912028,2.0,0.0,0.9041334935925025,0.9041334935925025
413,1,2.478657760733743,0.757923610979858,-43376.080387678485,3.0,1.0,1.0,-43376.080387678485,43376.500810248195,-0.22229350147244986,-0.22229350147244986,2.0,0.0,0.9041334935925025,0.9041334935925025
